;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
1713;1713;滴;drip,drop;しずく;てき;1627;99.94689686;0.00056493;;-1;K;p4
1675;1675;挺;counter for guns,bravely volunteer;ぬく;ちょう;1627;99.92542963;0.00056493;;-1;K;p4
1715;1715;潔;undefiled,pure,clean,righteous,gallant;いさぎよい;けつ;1627;99.94802671;0.00056493;;-1;K;p4
1674;1674;拭;wipe,mop,swab;ぬぐう;しょく;1627;99.9248647;0.00056493;;-1;K;p4
1671;1671;扮;impersonate,dress up,disguise,thin shingles;ふんする;ふん;1627;99.92316992;0.00056493;;-1;K;p4
1624;1624;鶴;crane,stork;つる;かく;1476;99.89605342;0.00112985;;-1;K;p4
1625;1625;龍;dragon,imperial;たつ;りゅう;1476;99.89718327;0.00112985;;-1;K;p4
1628;1628;仔;offspring (animal),detailed,fine;こ;し;1627;99.89887805;0.00056493;;-1;K;p4
1629;1629;仙;hermit,wizard,cent;;せん;1627;99.89944298;0.00056493;;-1;K;p4
1635;1635;僚;colleague,official,companion;;りょう;1627;99.90283254;0.00056493;;-1;K;p4
1636;1636;党;party,faction,clique;なかま;とう;1627;99.90339747;0.00056493;;-1;K;p4
1642;1642;剃;shave;まい;てい;1627;99.90678703;0.00056493;;-1;K;p4
1643;1643;剤;dose,medicine,drug;かる;ざい;1627;99.90735196;0.00056493;;-1;K;p4
1648;1648;啓;disclose,open,say;ひらく;けい;1627;99.9101766;0.00056493;;-1;K;p4
1658;1658;媚;flatter,humor,flirt;こびる;び;1627;99.91582587;0.00056493;;-1;K;p4
1660;1660;宮;Shinto shrine,constellations,palace,princess;みや;きゅう;1627;99.91695572;0.00056493;;-1;K;p4
1661;1661;岐;branch off,fork in road,scene,arena,theater;;き;1627;99.91752065;0.00056493;;-1;K;p4
1663;1663;幻;phantasm,vision,dream,illusion,apparition;まぼろし;げん;1627;99.9186505;0.00056493;;-1;K;p4
1664;1664;府;borough,urban prefecture,govt office,representative body,storehouse;;ふ;1627;99.91921543;0.00056493;;-1;K;p4
1665;1665;弧;arc,arch,bow;;こ;1627;99.91978036;0.00056493;;-1;K;p4
1666;1666;忌;mourning,abhor,detestable,death anniversary;いむ;き;1627;99.92034528;0.00056493;;-1;K;p4
1670;1670;戒;commandment;いましめる;かい;1627;99.92260499;0.00056493;;-1;K;p4
1672;1672;拉;Latin,kidnap,crush;らっする;らつ;1627;99.92373485;0.00056493;;-1;K;p4
1717;1717;瀕;shore,brink,verge;ほとり;ひん;1627;99.94915656;0.00056493;;-1;K;p4
1719;1719;灸;moxa cautery,chastisement;やいと;きゅう;1627;99.95028642;0.00056493;;-1;K;p4
1722;1722;獄;prison,jail;;ごく;1627;99.9519812;0.00056493;;-1;K;p4
1768;1768;蛮;barbarian;えびす;ばん;1627;99.97796784;0.00056493;;-1;K;p4
1769;1769;袖;sleeve,wing (building),extension,give cold shoulder;そで;しゅう;1627;99.97853277;0.00056493;;-1;K;p4
1771;1771;裾;cuff,hem,foot of mountain;すそ;きょ;1627;99.97966263;0.00056493;;-1;K;p4
1772;1772;褄;skirt,(kokuji);つま;;1627;99.98022755;0.00056493;;-1;K;p4
1773;1773;訝;doubt;いぶかる;が;1627;99.98079248;0.00056493;;-1;K;p4
1774;1774;訣;separation,part,secret;わかれ;けつ;1627;99.98135741;0.00056493;;-1;K;p4
1775;1775;詫;apologize;わび;た;1627;99.98192233;0.00056493;;-1;K;p4
1776;1776;諺;proverb;ことわざ;げん;1627;99.98248726;0.00056493;;-1;K;p4
1777;1777;貞;upright,chastity,constancy,righteousness;ただしい;てい;1627;99.98305219;0.00056493;;-1;K;p4
1785;1785;辻;crossing,crossroad,street corners,(kokuji);つじ;;1627;99.9875716;0.00056493;;-1;K;p4
1787;1787;逞;sturdy,brawny,bold;たくましい;てい;1627;99.98870146;0.00056493;;-1;K;p4
1788;1788;遍;everywhere,times,widely,generally;あまねく;へん;1627;99.98926639;0.00056493;;-1;K;p4
