84	商	241	343	0,04745387	86,18753319
84	調	241	343	0,04745387	86,23498706
82	指	242	345	0,04632402	86,28131108
82	捕	242	345	0,04632402	86,32763510
82	月	242	345	0,04632402	86,37395912
82	皆	242	345	0,04632402	86,42028314
82	練	242	345	0,04632402	86,46660716
82	街	242	345	0,04632402	86,51293118
82	選	242	345	0,04632402	86,55925520
81	勇	243	352	0,04575909	86,60501429
81	的	243	352	0,04575909	86,65077339
81	訳	243	352	0,04575909	86,69653248
81	返	243	352	0,04575909	86,74229157
80	劇	244	356	0,04519417	86,78748574
80	運	244	356	0,04519417	86,83267990
80	降	244	356	0,04519417	86,87787407
79	寂	245	359	0,04462924	86,92250330
79	昨	245	359	0,04462924	86,96713254
79	素	245	359	0,04462924	87,01176178
79	頃	245	359	0,04462924	87,05639102
78	頭	246	363	0,04406431	87,10045533
77	困	247	364	0,04349938	87,14395472
77	容	247	364	0,04349938	87,18745410
77	表	247	364	0,04349938	87,23095348
77	進	247	364	0,04349938	87,27445287
76	似	248	368	0,04293446	87,31738733
76	構	248	368	0,04293446	87,36032178
76	語	248	368	0,04293446	87,40325624
76	転	248	368	0,04293446	87,44619070
75	奏	249	372	0,04236953	87,48856023
74	成	250	373	0,04180460	87,53036483
74	査	250	373	0,04180460	87,57216943
73	疑	251	375	0,04123968	87,61340911
73	開	251	375	0,04123968	87,65464878
72	和	252	377	0,04067475	87,69532353
71	任	253	378	0,04010982	87,73543336
71	料	253	378	0,04010982	87,77554318
71	認	253	378	0,04010982	87,81565300
70	授	254	381	0,03954489	87,85519789
70	王	254	381	0,03954489	87,89474279
70	風	254	381	0,03954489	87,93428768
69	噂	255	384	0,03897997	87,97326765
69	暗	255	384	0,03897997	88,01224762
69	朝	255	384	0,03897997	88,05122759
69	育	255	384	0,03897997	88,09020755
69	騒	255	384	0,03897997	88,12918752
68	平	256	389	0,03841504	88,16760256
68	応	256	389	0,03841504	88,20601760
68	果	256	389	0,03841504	88,24443264
68	歩	256	389	0,03841504	88,28284768
68	週	256	389	0,03841504	88,32126272
67	三	257	394	0,03785011	88,35911284
67	参	257	394	0,03785011	88,39696295
67	吹	257	394	0,03785011	88,43481307
67	謝	257	394	0,03785011	88,47266318
67	車	257	394	0,03785011	88,51051329
67	黙	257	394	0,03785011	88,54836341
66	固	258	400	0,03728519	88,58564859
66	怪	258	400	0,03728519	88,62293378
66	消	258	400	0,03728519	88,66021897
66	証	258	400	0,03728519	88,69750415
65	社	259	404	0,03672026	88,73422441
65	雄	259	404	0,03672026	88,77094467
65	静	259	404	0,03672026	88,80766493
64	例	260	407	0,03615533	88,84382026
64	偵	260	407	0,03615533	88,87997560
64	客	260	407	0,03615533	88,91613093
64	復	260	407	0,03615533	88,95228626
64	津	260	407	0,03615533	88,98844159
64	点	260	407	0,03615533	89,02459692
64	絡	260	407	0,03615533	89,06075226
64	試	260	407	0,03615533	89,09690759
64	辛	260	407	0,03615533	89,13306292
63	売	261	416	0,03559041	89,16865333
63	抜	261	416	0,03559041	89,20424373
63	望	261	416	0,03559041	89,23983414
63	済	261	416	0,03559041	89,27542454
63	都	261	416	0,03559041	89,31101495
62	普	262	421	0,03502548	89,34604043
62	興	262	421	0,03502548	89,38106590
62	験	262	421	0,03502548	89,41609138
61	弱	263	424	0,03446055	89,45055193
61	掛	263	424	0,03446055	89,48501248
61	機	263	424	0,03446055	89,51947304
61	談	263	424	0,03446055	89,55393359
61	遅	263	424	0,03446055	89,58839414
60	置	264	429	0,03389562	89,62228976
59	冷	265	430	0,03333070	89,65562046
59	台	265	430	0,03333070	89,68895116
59	土	265	430	0,03333070	89,72228185
59	悲	265	430	0,03333070	89,75561255
59	許	265	430	0,03333070	89,78894325
59	説	265	430	0,03333070	89,82227394
59	負	265	430	0,03333070	89,85560464
58	姿	266	437	0,03276577	89,88837041
58	字	266	437	0,03276577	89,92113618
58	辺	266	437	0,03276577	89,95390195
57	半	267	440	0,03220084	89,98610279
