;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
151;早;early,fast;はやい;そう;152;70.95145017;0.13501757;N5;10;K;p4
152;確;assurance,firm,tight,hard,solid,confirm,clear,evident;たしか;かく;153;71.08477296;0.13332279;N2;20;K;p4
153;休;rest,day off,retire,sleep;やすむ;きゅう;154;71.21527111;0.13049815;N5;4;K;p4
154;所;place,extent;ところ;しょ;155;71.34463941;0.1293683;N5;8;K;p4
155;終;end,finish;おわる;しゅう;156;71.47344278;0.12880337;N4;12;K;p4
156;下;below,down,descend,give,low,inferior;した;か;157;71.60168122;0.12823844;N5;1;K;p4
157;悪;bad,vice,rascal,false,evil,wrong;わるい;あく;158;71.72878981;0.12710859;N3;46;K;p4
158;界;world,boundary;;かい;158;71.8558984;0.12710859;N3;24;K;p4
159;柏;oak,cypress;かしわ;はく;160;71.98187714;0.12597874;;-1;K;p4
160;様;Esq.,way,manner,situation,polite suffix;さま;よう;160;72.10785588;0.12597874;N1;13;K;p4
161;決;decide,fix,agree upon,appoint;きめる;けつ;160;72.23383461;0.12597874;N4;8;K;p4
162;仕;attend,doing,official,serve;つかえる;し;163;72.35924842;0.12541381;N5;11;K;p4
163;父;father;ちち;ふ;164;72.4840973;0.12484888;N3;12;K;p4
164;良;good,pleasing,skilled;よい;りょう;164;72.60894619;0.12484888;N5;11;K;p4
165;同;same,agree,equal;おなじ;どう;166;72.73266521;0.12371903;N5;5;K;p4
166;戻;re-,return,revert,resume,restore,go backwards;もどす;れい;166;72.85638424;0.12371903;N4;37;K;p4
167;取;take,fetch,take up;とる;しゅ;168;72.97953834;0.1231541;N5;16;K;p4
168;向;yonder,facing,beyond,confront,defy,tend toward,approach;むく;こう;169;73.10156259;0.12202425;N5;8;K;p4
169;金;gold;かね;きん;169;73.22358683;0.12202425;N3;5;K;p4
170;込;crowded,mixture,in bulk,included,(kokuji);こむ;;171;73.34504615;0.12145932;N4;21;K;p4
171;回;-times,round,game,revolve,counter for occurrences;まわる;かい;172;73.46368084;0.11863468;N3;5;K;p4
172;居;reside,to be,exist,live with;いる;きょ;173;73.58118567;0.11750483;N5;25;K;p4
173;作;make,production,prepare,build;つくる;さく;174;73.69812557;0.1169399;N5;5;K;p4
174;解;unravel,notes,key,explanation,understanding,untie,undo,solve,answer,cancel,absolve,explain,minute;とく;かい;175;73.81337069;0.11524512;N3;21;K;p4
175;神;gods,mind,soul;かみ;しん;176;73.92805089;0.11468019;N3;11;K;p4
176;典;code,ceremony,law,rule;;てん;177;74.04216616;0.11411527;;-1;K;p4
177;近;near,early,akin,tantamount;ちかい;きん;178;74.15515157;0.11298541;N5;5;K;p4
178;殺;kill,murder,butcher,slice off,split,diminish,reduce,spoil;ころす;さつ;179;74.26757206;0.11242049;N1;13;K;p4
179;男;male;おとこ;だん;180;74.37942762;0.11185556;N5;4;K;p4
180;嬉;glad,pleased,rejoice;うれしい;き;181;74.49071825;0.11129063;;-1;K;p4
181;美;beauty,beautiful;うつくしい;び;182;74.60087903;0.11016078;N4;16;K;p4
182;屋;roof,house,shop,dealer,seller;や;おく;183;74.71047488;0.10959585;N3;12;K;p4
183;然;sort of thing,so,if so,in that case,well;しか;ぜん;183;74.82007073;0.10959585;;-1;K;p4
184;外;outside;そと;がい;185;74.92910165;0.10903092;N5;3;K;p4
185;活;lively,resuscitation,being helped,living;いきる;かつ;185;75.03813258;0.10903092;N4;3;K;p4
186;色;color;いろ;しょく;187;75.14659857;0.108466;N5;5;K;p4
187;不;negative,non-,bad,ugly,clumsy;;ふ;188;75.25393472;0.10733614;N3;6;K;p4
188;室;room,apartment,chamber,greenhouse,cellar;むろ;しつ;188;75.36127086;0.10733614;N1;6;K;p4
189;映;reflect,reflection,projection;うつる;えい;190;75.46804208;0.10677122;N5;13;K;p4
190;買;buy;かう;ばい;190;75.57481329;0.10677122;N5;11;K;p4
191;関;connection,barrier,gateway,involve,concerning;せき;かん;190;75.68158451;0.10677122;N4;16;K;p4
192;面;mask,face,features,surface;おも;めん;190;75.78835572;0.10677122;N5;16;K;p4
193;町;town,village,block,street;まち;ちょう;194;75.89343216;0.10507643;N5;4;K;p4
194;元;beginning,former time,origin;もと;げん;195;75.99794367;0.10451151;N3;3;K;p4
195;教;teach,faith,doctrine;おしえる;きょう;196;76.10132532;0.10338165;N5;7;K;p4
196;特;special;;とく;196;76.20470697;0.10338165;N4;11;K;p4
197;警;admonish,commandment;いましめる;けい;198;76.3075237;0.10281673;N4;17;K;p4
198;山;mountain;やま;さん;199;76.40921057;0.10168687;N5;1;K;p4
199;伝;transmit,go along,walk along,follow,report,communicate,legend,tradition;つたわる;でん;200;76.51033252;0.10112195;N3;22;K;p4
200;番;turn,number in a series;つがい;ばん;201;76.60919475;0.09886224;N5;8;K;p4
201;配;distribute,spouse,exile,rationing;くばる;はい;202;76.70636221;0.09716746;N3;18;K;p4
202;野;plains,field,rustic,civilian life;の;や;202;76.80352966;0.09716746;N5;31;K;p4
203;夫;husband,man;おっと;ふ;204;76.90013219;0.09660253;N4;15;K;p4
204;病;ill,sick;やむ;びょう;204;76.99673472;0.09660253;N5;10;K;p4
205;連;take along,lead,join,connect,party,gang,clique;つらなる;れん;206;77.09051261;0.09377789;N4;19;K;p4
206;頼;trust,request;たのむ;らい;206;77.18429051;0.09377789;N5;36;K;p4
207;切;cut,cutoff,be sharp;きる;せつ;208;77.27750347;0.09321297;N5;30;K;p4
208;店;store,shop;みせ;てん;209;77.36902166;0.09151819;N5;6;K;p4
209;情;feelings,emotion,passion,sympathy,circumstances,facts;なさけ;じょう;210;77.45997492;0.09095326;N3;18;K;p4
210;深;deep,heighten,intensify,strengthen;ふかい;しん;210;77.55092818;0.09095326;N2;12;K;p4
211;察;guess,presume,surmise,judge,understand;;さつ;212;77.64131651;0.09038833;;-1;K;p4
212;初;first time,beginning;はじめ;しょ;213;77.73113991;0.0898234;N5;13;K;p4
213;探;grope,search,look for;さぐる;たん;213;77.82096331;0.0898234;N4;25;K;p4
214;母;mother;はは;ぼ;215;77.91022179;0.08925848;N3;12;K;p4
215;優;tenderness,excel,surpass,actor,superiority,gentleness;やさしい;ゆう;216;77.99835041;0.08812862;N3;23;K;p4
216;欲;longing,covetousness,greed,passion,desire,craving;ほっする;よく;216;78.08647904;0.08812862;N5;32;K;p4
217;君;mister,you,ruler,male name suffix;きみ;くん;218;78.17234795;0.08586891;N4;8;K;p4
218;可;can,passable,mustn't,should not,do not;べき;か;219;78.25765194;0.08530399;N5;18;K;p4
219;着;don,arrive,wear,counter for suits of clothing;きる;ちゃく;219;78.34295592;0.08530399;N5;12;K;p4
220;親;parent,intimacy,relative,familiarity,dealer (cards);おや;しん;221;78.42769498;0.08473906;N4;10;K;p4
221;愛;love,affection,favourite;いとしい;あい;222;78.51186912;0.08417413;N3;17;K;p4
222;次;next,order,sequence;つぐ;じ;223;78.5949134;0.08304428;N5;6;K;p4
223;以;by means of,because,in view of,compared with;もって;い;224;78.67682782;0.08191442;N4;7;K;p4
224;書;write;かく;しょ;224;78.75874225;0.08191442;N3;42;K;p4
225;頑;stubborn,foolish,firmly;かたく;がん;224;78.84065667;0.08191442;N1;14;K;p4
226;貴;precious,value,prize,esteem,honor;たっとい;き;227;78.92144124000001;0.08078457;N1;34;K;p4
227;係;person in charge,connection,duty,concern oneself;かかる;けい;228;79.00166089;0.08021964;N2;16;K;p4
228;備;equip,provision,preparation;そなえる;び;228;79.08188053;0.08021964;N3;23;K;p4
229;諸;various,many,several,together;もろ;しょ;228;79.16210017;0.08021964;N1;33;K;p4
230;保;protect,guarantee,keep,preserve,sustain,support;たもつ;ほ;231;79.24175489;0.07965472;N3;16;K;p4
231;助;help,rescue,assist;たすける;じょ;231;79.32140961;0.07965472;N3;10;K;p4
232;岡;mount,hill,knoll;おか;こう;231;79.40106432;0.07965472;N3;44;K;p4
233;報;report,news,reward,retribution;むくいる;ほう;234;79.48015411;0.07908979;N4;8;K;p4
234;丈;length,ten shaku,measure,Mr.,Ms.,height,stature,all (one has),only,that's all,merely;たけ;じょう;235;79.55867897;0.07852486;N1;15;K;p4
235;信;faith,truth,fidelity,trust;;しん;235;79.63720384;0.07852486;N3;36;K;p4
236;必;invariably,certain,inevitable;かならず;ひつ;235;79.7157287;0.07852486;N4;9;K;p4
237;性;sex,gender,nature;さが;せい;235;79.79425356;0.07852486;N3;14;K;p4
238;文;sentence,literature,style,art,decoration,figures,plan,literary radical (no. 67);ふみ;ぶん;235;79.87277842;0.07852486;N3;2;K;p4
239;相;inter-,mutual,together,each other,minister of state,councillor,aspect,phase,physiognomy;あい;そう;240;79.95073836;0.07795994;N3;14;K;p4
240;名;name,noted,distinguished,reputation;な;めい;241;80.02813337;0.07739501;N3;4;K;p4
241;現;present,existing,actual;あらわれる;げん;241;80.10552838;0.07739501;N3;23;K;p4
242;残;remainder,leftover,balance;のこる;ざん;243;80.18235846;0.07683008;N4;14;K;p4
243;覚;memorize,learn,remember,awake,sober up;おぼえる;かく;244;80.25805868;0.07570023;N5;19;K;p4
244;四;four;よ;し;245;80.33319398;0.0751353;N5;2;K;p4
245;引;pull,tug,jerk,admit,install,quote,refer to;ひく;いん;245;80.40832928;0.0751353;N5;3;K;p4
246;急;hurry,emergency,sudden,steep;いそぐ;きゅう;245;80.48346458;0.0751353;N4;16;K;p4
247;由;wherefore,a reason;よし;ゆ;245;80.55859988;0.0751353;N2;41;K;p4
248;兄;elder brother,big brother;あに;けい;249;80.63317026;0.07457037;N5;5;K;p4
249;業;business,vocation,arts,performance;わざ;ぎょう;249;80.70774063;0.07457037;;-1;K;p4
250;他;other,another,the others;ほか;た;251;80.78174608;0.07400545;N5;4;K;p4
251;旅;trip,travel;たび;りょ;252;80.8551866;0.07344052;N3;12;K;p4
252;正;correct,justice,righteous,10**40;ただしい;せい;253;80.92806219;0.07287559;N3;6;K;p4
253;対;vis-a-vis,opposite,even,equal,versus,anti-,compare;あいて;たい;254;81.00037285;0.07231066;N3;24;K;p4
254;準;semi-,correspond to,proportionate to,conform,imitate;じゅんじる;じゅん;254;81.07268352;0.07231066;N3;23;K;p4
255;集;gather,meet,congregate,swarm,flock;あつまる;しゅう;254;81.14499418;0.07231066;N3;19;K;p4
256;員;employee,member,number,the one in charge;;いん;257;81.21617499;0.07118081;;-1;K;p4
257;問;question,ask,problem;とう;もん;257;81.2873558;0.07118081;N5;13;K;p4
258;声;voice;こえ;せい;257;81.35853661;0.07118081;N5;5;K;p4
259;数;number,strength,fate,law,figures;かず;すう;260;81.42802264;0.06948603;N3;8;K;p4
260;演;performance,act,play,render,stage;;えん;260;81.49750867;0.06948603;N3;38;K;p4
261;身;somebody,person,one's station in life;み;しん;260;81.5669947;0.06948603;N3;8;K;p4
262;忘;forget;わすれる;ぼう;263;81.63535088;0.06835618;N5;18;K;p4
263;救;salvation,save,help,rescue,reclaim;すくう;きゅう;263;81.70370705;0.06835618;N3;8;K;p4
264;題;topic,subject;;だい;263;81.77206323;0.06835618;;-1;K;p4
265;送;escort,send;おくる;そう;266;81.83985447;0.06779125;N4;9;K;p4
266;定;determine,fix,establish,decide;さだめる;てい;267;81.9070808;0.06722632;N1;21;K;p4
267;空;empty,sky,void,vacant,vacuum;そら;くう;267;81.97430712;0.06722632;N5;5;K;p4
268;勝;victory,win,prevail,excel;かつ;しょう;269;82.04040358;0.06609647;N4;9;K;p4
269;多;many,frequent,much;おおい;た;270;82.10593512;0.06553154;N5;5;K;p4
270;泣;cry,weep,moan;なく;きゅう;270;82.17146666;0.06553154;N4;15;K;p4
271;怖;dreadful,be frightened,fearful;こわい;ふ;272;82.23586835;0.06440169;N4;29;K;p4
272;誘;entice,lead,tempt,invite,ask,call for,seduce,allure;さそう;ゆう;272;82.30027004;0.06440169;N3;27;K;p4
273;恥;shame,dishonor;はじる;ち;274;82.36410679;0.06383676;N1;35;K;p4
274;内;inside,within,between,among,house,home;うち;ない;275;82.4268137;0.0627069;N4;3;K;p4
275;受;accept,undergo,answer (phone),take,get,catch,receive;うける;じゅ;275;82.4895206;0.0627069;N4;29;K;p4
276;地;ground,earth;;ち;275;82.55222751;0.0627069;N3;6;K;p4
277;羽;feathers,counter for birds;は;う;275;82.61493441;0.0627069;N3;5;K;p4
278;覆;capsize,cover,shade,mantle,be ruined;おおう;ふく;275;82.67764132;0.0627069;N3;51;K;p4
279;習;learn;ならう;しゅう;280;82.73978329;0.06214198;N5;10;K;p4
280;落;fall,drop,come down,village,hamlet;おちる;らく;280;82.80192527;0.06214198;N4;10;K;p4
281;葉;leaf,plane,lobe,needle,blade,spear,counter for flat things,fragment,piece;は;よう;280;82.86406725;0.06214198;N4;10;K;p4
282;稲;rice plant;いね;とう;283;82.9256443;0.06157705;N3;39;K;p4
283;要;need,main point,essence,pivot,key to;いる;よう;284;82.98665642;0.06101212;N5;9;K;p4
284;遊;play;あそぶ;ゆう;284;83.04766855;0.06101212;N4;32;K;p4
285;院;Inst.,institution,temple,mansion,school;;いん;286;83.10811574;0.0604472;;-1;K;p4
286;得;gain,get,find,earn,acquire,can,may,able to,profit,advantage,benefit;える;とく;287;83.16799801;0.05988227;N3;19;K;p4
